sample title	sample name	condition	week	body weight (g)	blood sugar concentration (mg/dL)	testicular fat mass (g)
TSNO-3W-1	AR1491_31	TSNO	3	10.30	137.00	0.02
TSNO-3W-2	AR1491_32	TSNO	3	9.00	121.00	0.01
TSNO-3W-3	AR1491_33	TSNO	3	9.40	117.00	0.02
TSNO-3W-4	AR1491_34	TSNO	3	10.40	115.00	0.01
TSNO-3W-5	AR1491_35	TSNO	3	9.20	119.00	0.01
TSNO-4W-1	AR1491_37	TSNO	4	18.50	157.00	0.06
TSNO-4W-2	AR1491_38	TSNO	4	18.80	157.00	0.07
TSNO-4W-3	AR1491_39	TSNO	4	17.60	143.00	0.06
TSNO-4W-4	AR1491_40	TSNO	4	17.90	139.00	0.06
TSNO-4W-5	AR1491_41	TSNO	4	19.10	155.00	0.08
TSNO-5W-1	AR1491_43	TSNO	5	21.30	137.00	0.10
TSNO-5W-2	AR1491_44	TSNO	5	23.10	155.00	0.14
TSNO-5W-3	AR1491_45	TSNO	5	21.10	154.00	0.10
TSNO-5W-4	AR1491_46	TSNO	5	22.60	147.00	0.13
TSNO-5W-5	AR1491_47	TSNO	5	23.00	146.00	0.12
TSNO-6W-1	AR1491_49	TSNO	6	26.30	164.00	0.23
TSNO-6W-2	AR1491_50	TSNO	6	27.60	150.00	0.33
TSNO-6W-3	AR1491_51	TSNO	6	26.00	162.00	0.27
TSNO-6W-4	AR1491_52	TSNO	6	26.30	146.00	0.27
TSNO-6W-5	AR1491_53	TSNO	6	27.30	171.00	0.28
TSNO-7W-1	AR1491_55	TSNO	7	29.50	146.00	0.27
TSNO-7W-2	AR1491_56	TSNO	7	27.50	148.00	0.35
TSNO-7W-3	AR1491_57	TSNO	7	29.00	151.00	0.28
TSNO-7W-4	AR1491_58	TSNO	7	30.00	159.00	0.46
TSNO-7W-5	AR1491_59	TSNO	7	29.00	143.00	0.37
TSOD-3W-1	AR1491_01	TSOD	3	13.10	127.00	0.05
TSOD-3W-2	AR1491_02	TSOD	3	11.10	132.00	0.05
TSOD-3W-3	AR1491_03	TSOD	3	11.80	135.00	0.05
TSOD-3W-4	AR1491_04	TSOD	3	13.30	128.00	0.05
TSOD-3W-5	AR1491_05	TSOD	3	12.10	124.00	0.08
TSOD-4W-1	AR1491_07	TSOD	4	21.80	144.00	0.17
TSOD-4W-2	AR1491_08	TSOD	4	22.60	151.00	0.19
TSOD-4W-3	AR1491_09	TSOD	4	21.90	135.00	0.18
TSOD-4W-5	AR1491_11	TSOD	4	21.4	134	0.16
TSOD-4W-6	AR1491_12	TSOD	4	22.6	142	0.19
TSOD-5W-1	AR1491_13	TSOD	5	28.80	169.00	0.46
TSOD-5W-3	AR1491_15	TSOD	5	30.4	184	0.54
TSOD-5W-4	AR1491_16	TSOD	5	31.5	186	0.57
TSOD-5W-5	AR1491_17	TSOD	5	28.6	175	0.49
TSOD-5W-6	AR1491_18	TSOD	5	28.7	177	0.50
TSOD-6W-1	AR1491_19	TSOD	6	34.80	185.00	1.01
TSOD-6W-2	AR1491_20	TSOD	6	34.00	181.00	0.97
TSOD-6W-3	AR1491_21	TSOD	6	34.70	167.00	1.01
TSOD-6W-4	AR1491_22	TSOD	6	33.00	211.00	0.83
TSOD-7W-1	AR1491_25	TSOD	7	38.20	204.00	1.44
TSOD-7W-2	AR1491_26	TSOD	7	38.20	180.00	1.41
TSOD-7W-3	AR1491_27	TSOD	7	40.30	186.00	1.47
TSOD-7W-4	AR1491_28	TSOD	7	38.20	177.00	1.35
TSOD-7W-5	AR1491_29	TSOD	7	40.30	240.00	1.64
M1	AR1546_18	TSOD-BTS	4	20.20	164.00	0.20
M2	AR1546_19	TSOD-BTS	4	22.50	155.00	0.23
M5	AR1546_22	TSOD-BTS	4	23.30	158.00	0.27
M7	AR1546_24	TSOD-BTS	5	26.3	164	0.47
M8	AR1546_25	TSOD-BTS	5	27.7	202	0.57
M9	AR1546_26	TSOD-BTS	5	26.9	176	0.65
M11	AR1546_28	TSOD-BTS	5	26.1	161	0.49
M13	AR1546_30	TSOD-BTS	6	29.4	206	0.76
M16	AR1546_33	TSOD-BTS	6	32.7	265	1.19
M17	AR1546_34	TSOD-BTS	6	32.5	192	1.31
M18	AR1546_35	TSOD-BTS	6	32.4	254	1.16
M19	AR1546_36	TSOD-BTS	7	35.6	149	1.48
M22	AR1546_39	TSOD-BTS	7	34.6	148	1.27
M23	AR1546_40	TSOD-BTS	7	37.2	174	1.66
M24	AR1546_41	TSOD-BTS	7	34.4	156	1.47
